eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
1,1,2,54,3,1,4,5,5,5,1,5244,26,38.88,35,1,NA,NA,5,1,NA,10,10,NA,NA,NA,10,10,2,NA,4,4,NA,NA,NA,NA,NA,NA,8,2,3,2,2,1,4,3,4,1,2,2,1,3,1,2,1,1,4,3,2,3,3,5,80,3,3
1,1,1,53,3,8,4,5,5,6,1,2421,55.8,70.09,62,NA,NA,NA,5,2,NA,19,19,NA,NA,NA,19,19,2,NA,7,3,9000,53,NA,1,NA,1,10,4,3,NA,4,4,1,3,3,4,1,NA,1,2,2,2,2,2,3,NA,NA,NA,NA,NA,50,3,3
1,1,2,89,5,7,4,4,4,4,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,3,2011,10,5,2,NA,2,9,4,3,NA,3,4,2,1,1,2,2,NA,2,NA,2,1,1,1,2,NA,NA,NA,NA,NA,10,4,3
2,1,1,79,5,17,1,4,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,12,NA,15,NA,15,15,1,1,7,3,NA,NA,NA,NA,NA,NA,9,3,1,2,2,3,2,3,3,2,1,2,1,3,1,NA,1,1,3,4,4,5,3,5,160,2,2
1,1,2,62,4,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,19,NA,19,19,1,2,7,4,NA,NA,NA,NA,NA,NA,8,3,2,2,2,2,3,3,3,2,1,1,1,3,1,NA,1,1,3,3,3,2,3,4,50,7,3
1,1,1,23,1,2,4,7,NA,NA,4,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,NA,12,NA,12,12,1,1,4,1,NA,NA,NA,NA,NA,NA,8,4,3,1,3,4,3,2,2,2,1,1,2,NA,1,2,2,1,2,2,3,3,3,3,90,8,6
1,1,2,31,2,8,4,5,6,8,2,2310,78.16,85.41,32,2,NA,NA,5,1,1900,NA,14,5000,NA,5000,NA,23,1,2,4,1,2012,9,6,1,NA,1,7,3,3,2,2,2,3,3,3,2,2,2,1,2,2,2,1,1,1,1,2,3,4,3,50,10,7
1,1,2,57,3,12,2,4,5,5,1,4110,42.09,43.33,39.5,1,NA,NA,1,NA,NA,15,15,NA,20,NA,20,20,1,1,7,4,NA,NA,NA,NA,NA,NA,5,3,1,2,3,2,3,3,4,2,2,1,1,2,1,2,1,1,2,3,2,4,4,4,70,4,1
2,1,1,68,4,17,1,3,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,1300,NA,11,1900,NA,1900,NA,14,1,1,5,3,1975,46,1,NA,2,2,5,3,2,2,2,2,4,3,4,2,2,2,1,2,1,1,1,1,4,4,3,3,4,4,160,3,3
1,1,2,51,3,7,4,3,3,3,2,3221,44,56,30,1,NA,NA,5,1,NA,13,13,NA,NA,NA,NA,NA,1,4,7,4,NA,NA,NA,NA,NA,NA,9,3,3,2,2,3,3,3,4,1,1,1,1,2,1,2,1,1,3,2,2,4,4,5,60,4,3
