kzf,bland,Aggregat,kinder_armut,alters_armut
1,Schleswig-Holstein,Bundesländer,13.08,2.9
2,Hamburg,Bundesländer,18.38,8.12
3,Niedersachsen,Bundesländer,12.42,2.96
4,Bremen,Bundesländer,28.9,6.51
5,Nordrhein-Westfalen,Bundesländer,16.87,3.87
6,Hessen,Bundesländer,12.77,3.76
7,Rheinland-Pfalz,Bundesländer,10.09,2.54
8,Baden-Württemberg,Bundesländer,7.45,2.25
9,Bayern,Bundesländer,5.71,2.42
10,Saarland,Bundesländer,17.14,3.32
11,Berlin,Bundesländer,24.52,6.08
12,Brandenburg,Bundesländer,9.6,1.25
13,Mecklenburg-Vorpommern,Bundesländer,11.38,1.34
14,Sachsen,Bundesländer,9.45,1.08
15,Sachsen-Anhalt,Bundesländer,13.83,1.11
16,Thüringen,Bundesländer,9.8,0.9
