respid,age,sex,wohnort,isced97,work,dw15,mstat,hhincc,hs04_r,hs06,hs07,hs05_r,hs09_r,distress,im17_r,im18_r,im19_r,im20_r,im21_r,soz.u,soz.u_na,soz.u_rmt,distress_na,distress_rmt
1,54,2,Rural,5,1,35,5,10,3,3,3,4,1,14,3,4,1,2,1,11,11,11,14,14
4,79,1,Urban,5,4,NA,1,15,2,5,3,2,1,13,3,2,3,2,2,12,12,12,13,13
5,62,2,Rural,3,4,NA,1,19,3,2,3,3,2,13,3,3,2,2,2,12,12,12,13,13
6,23,1,Urban,NA,4,NA,5,12,4,3,3,3,3,16,2,1,2,3,3,11,11,11,16,16
7,31,2,Urban,6,2,32,5,23,5,3,4,4,3,19,3,3,2,2,2,12,12,12,19,19
8,57,2,Rural,5,1,39.5,1,20,3,4,4,4,2,17,2,3,2,2,1,10,10,10,17,17
9,68,1,Urban,5,4,NA,1,14,2,3,4,3,2,14,3,3,1,2,1,10,10,10,14,14
10,51,2,Rural,3,2,30,5,NA,4,4,4,4,1,17,3,2,2,2,1,10,10,10,17,17
11,57,1,Rural,5,4,NA,3,3,2,2,2,1,4,11,3,3,3,3,2,14,14,14,11,11
13,55,2,Rural,5,2,33,1,19,4,3,2,2,2,13,3,2,2,2,2,11,11,11,13,13
14,26,1,Rural,5,1,55.5,5,14,4,3,3,3,4,17,1,2,3,3,3,12,12,12,17,17
15,38,1,Urban,5,1,39,4,16,3,4,3,3,3,16,4,4,1,1,1,11,11,11,16,16
16,58,2,Urban,5,2,22,1,15,4,3,4,3,2,16,1,1,4,2,3,11,11,11,16,16
18,45,1,Urban,5,2,41,1,20,4,2,3,3,2,14,2,2,2,3,2,11,11,11,14,14
19,49,1,Urban,3,1,35,5,16,4,3,4,3,4,18,3,4,3,3,2,15,15,15,18,18
20,26,1,Urban,5,1,45,5,16,3,2,3,2,3,13,2,2,3,2,2,11,11,11,13,13
22,48,1,Rural,5,1,40,1,24,4,3,2,2,1,12,2,3,1,2,1,9,9,9,12,12
24,73,2,Urban,5,4,NA,1,11,3,2,2,2,1,10,3,2,1,2,2,10,10,10,10,10
26,25,1,Urban,5,1,40,5,18,4,3,3,4,4,18,4,3,1,1,2,11,11,11,18,18
28,54,2,Urban,3,1,37.5,1,20,3,2,3,2,2,12,4,3,2,2,2,13,13,13,12,12
29,51,1,Urban,3,1,50,1,17,4,3,3,2,1,13,4,4,3,4,1,16,16,16,13,13
30,60,2,Rural,5,2,30,1,22,4,3,3,3,2,15,3,2,2,2,2,11,11,11,15,15
31,49,1,Urban,3,1,39,1,23,2,2,2,2,1,9,3,2,3,3,4,15,15,15,9,9
32,57,2,Urban,3,4,NA,1,16,3,2,3,2,1,11,2,2,2,3,2,11,11,11,11,11
34,58,2,Rural,5,1,40,1,19,4,4,3,3,1,15,3,2,2,3,2,12,12,12,15,15
36,82,1,Rural,5,4,NA,1,NA,3,3,3,3,2,14,4,4,3,2,2,15,15,15,14,14
37,77,2,Urban,3,4,NA,3,14,3,3,3,4,5,18,3,2,3,3,3,14,14,14,18,18
38,79,1,Urban,6,4,NA,1,23,3,2,2,2,1,10,2,1,4,3,4,14,14,14,10,10
40,77,1,Urban,3,NA,NA,1,20,3,2,3,3,3,14,3,2,3,3,3,14,14,14,14,14
41,54,2,Urban,3,2,25.5,1,21,4,4,4,3,2,17,2,1,2,3,2,10,10,10,17,17
43,23,2,Urban,3,3,NA,5,15,5,4,3,4,4,20,2,3,3,2,3,13,13,13,20,20
44,25,2,Urban,5,1,40,5,23,4,3,1,2,1,11,4,3,2,2,1,12,12,12,11,11
45,65,1,Urban,3,4,NA,1,19,2,2,3,2,2,11,3,4,1,1,1,10,10,10,11,11
46,56,1,Urban,3,1,45,1,18,4,4,3,4,2,17,3,2,1,1,1,8,8,8,17,17
47,72,1,Rural,5,4,NA,1,13,1,1,1,1,1,5,3,4,2,3,2,14,14,14,5,5
48,52,1,Urban,5,1,60,1,19,4,4,2,3,3,16,3,1,3,1,1,9,9,9,16,16
49,68,1,Rural,5,4,NA,5,15,3,3,3,3,2,14,3,2,2,1,1,9,9,9,14,14
50,55,2,Urban,6,1,50,5,21,2,2,3,1,1,9,2,3,1,2,2,10,10,10,9,9
